MIDI Note,Count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,4012
35,15056
36,67052
37,50089
38,158768
39,82421
40,673145
41,266802
42,345216
43,542530
44,251916
45,977196
46,354698
47,925930
48,791214
49,518763
50,1333631
51,397045
52,1315419
53,557610
54,802133
55,1220944
56,593443
57,1318735
58,385511
59,1224617
60,732227
61,498771
62,972606
63,277495
64,993800
65,277462
66,396659
67,515433
68,196652
69,366956
70,115966
71,196618
72,124925
73,53827
74,107972
75,39376
76,67617
77,17964
78,38879
79,40211
80,4460
81,35943
82,4887
83,5082
84,6669
85,1823
86,3395
87,155
88,217
89,79
90,36
91,48
92,25
93,27
94,33
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,6566389
